iso3,country,region,year,A01a_bin,A01a_cat,A01b_bin,A01b_cat,A02a_bin,A02a_cat,A02b_bin,A02b_cat,A03a_bin,A03a_cat,A03b_bin,A03b_cat,A04_bin,A04_cat,A05_bin,A05_cat,A06_bin,A06_cat,A06a_bin,A06a_cat,A06a_yrs,A06b_bin,A06b_cat,A06c_bin,A06c_cat,A06d_bin,A06d_cat,A06e_bin,A06e_cat,A06f_bin,A06f_cat,A07_bin,A07_cat,A08_bin,A08_cat,A09_bin,A09_cat,A10_bin,A10_cat,A11_bin,A11_cat,A12a_bin,A12a_cat,A12b_bin,A12b_cat,A13_bin,A13_cat,A14_bin,A14_cat,A16_bin,A16_cat,A18_bin,A18_cat,A19_bin,A19_cat,A20_bin,A20_cat,A21_bin,A21_cat,A22_bin,A22_cat,A23_bin,A23_cat,A24_bin,A24_cat,A25_bin,A25_cat,A26_bin,A26_cat,L01_bin,L01_cat,L02_bin,L02_cat,L03_bin,L03_cat,L04_bin,L04_cat,L05_bin,L05_cat,L06_bin,L06_cat,L07_bin,L07_cat,L08_bin,L08_cat,L09_bin,L09_cat,L10_bin,L10_cat,L11_bin,L11_cat,L12_bin,L12_cat,L13a_bin,L13a_cat,L13b_bin,L13b_cat,L14_bin,L14_cat,dualcit_comb
FSM,Micronesia,Oceania,2020,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,4,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,Gabon,Africa,2020,1,1,1,1,0,0,1,1,1,1,1,3,0,0,1,1,1,1,1,1,5,0,0,0,0,0,0,1,2,1,1,1,2,1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,3,3
GBR,United Kingdom,Europe,2020,1,1,1,6,1,2,0,0,1,2,1,2,0,0,1,1,1,1,1,2,5,0,0,1,3,1,2,1,3,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3
GEO,Georgia,Asia,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,1,1,1,1,1,3,10,1,3,1,2,1,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,1,1,2,1,1,0,0,1,1,1,2,0,0,1,2,0,0,1,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,Ghana,Africa,2020,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,2,5,0,0,1,2,1,1,1,2,1,1,0,0,1,6,0,0,1,2,1,3,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
GIN,Guinea,Africa,2020,1,1,1,1,0,0,1,1,1,2,1,1,0,0,1,2,1,1,1,2,5,0,0,1,2,1,1,1,2,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3
GMB,Gambia,Africa,2020,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,15,1,3,0,0,0,0,1,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
GNB,Guinea Bissau,Africa,2020,1,1,1,6,1,3,0,0,1,2,1,1,0,0,0,0,1,1,1,3,6,0,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
GNQ,Equatorial Guinea,Africa,2020,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,40,1,3,1,2,1,1,1,1,1,1,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,Greece,Europe,2020,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,3,7,0,0,1,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,2,1,1,0,0,0,0,1,2,1,2,1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,3,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,3,0,0,0,0,1,1,0,0,3
GRD,Grenada,Americas,2020,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,3,5,0,0,1,2,0,0,1,3,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
GTM,Guatemala,Americas,2020,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,1,1,3,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
GUY,Guyana,Americas,2020,0,0,1,6,1,1,0,0,1,2,0,0,1,1,0,0,1,1,1,3,5,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,2,1,2,0,0,0,0,1,2,1,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,2,0,0,0,0,1,2,1,5,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
HND,Honduras,Americas,2020,0,0,1,6,1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,1,3,1,2,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
HRV,Croatia,Europe,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,1,2,1,1,1,3,8,1,2,1,3,1,1,1,3,1,1,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,2,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,1
HTI,Haiti,Americas,2020,1,1,1,2,1,3,0,0,1,1,1,3,0,0,1,3,1,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
HUN,Hungary,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,8,0,0,1,1,1,2,1,2,1,1,1,2,1,1,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3
IDN,Indonesia,Asia,2020,1,3,1,3,0,0,0,0,1,2,1,3,1,2,0,0,1,1,1,2,5,1,3,1,2,0,0,1,1,1,1,0,0,1,2,1,2,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,4,0,0,0,0,1,2,0,0,0
IND,India,Asia,2020,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,1,3,1,2,0,0,1,3,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,0,0,1,2,1,1,0,0,1,2,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
IRL,Ireland,Europe,2020,1,1,1,1,1,2,0,0,1,2,1,1,0,0,1,1,1,1,1,2,5,0,0,0,0,0,0,1,3,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,6,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3
IRN,Iran,Asia,2020,1,4,1,4,0,0,1,1,1,1,0,0,0,0,1,2,1,1,1,2,5,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,3,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
IRQ,Iraq,Asia,2020,1,1,1,4,0,0,0,0,1,1,0,0,0,0,1,2,1,1,1,3,10,0,0,0,0,0,0,1,2,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3
ISL,Iceland,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,2,0,0,0,0,1,1,1,3,7,0,0,1,2,0,0,1,2,1,1,1,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,3
ISR,Israel,Asia,2020,1,1,1,6,1,3,0,0,1,1,1,2,0,0,0,0,1,1,1,1,3,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,2,1,1,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1
ITA,Italy,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,3,1,1,1,2,1,1,1,3,10,0,0,1,3,0,0,1,1,1,1,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1,2,1,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,3,0,0,1,3,0,0,1,1,1,1,0,0,0,0,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,1,3
JAM,Jamaica,Americas,2020,0,0,1,1,1,1,0,0,1,1,0,0,1,2,0,0,1,1,1,2,5,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,2,1,2,0,0,0,0,1,2,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,1,2,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
JOR,Jordan,Asia,2020,1,4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,4,1,3,1,2,0,0,1,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1
JPN,Japan,Asia,2020,1,1,1,1,0,0,0,0,1,2,1,3,1,2,1,2,1,1,1,2,5,1,3,0,0,0,0,1,2,1,1,0,0,1,2,1,1,1,1,0,0,1,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
KAZ,Kazakhstan,Asia,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,2,5,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,1,1,1,4,0,0,1,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2
KEN,Kenya,Africa,2020,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,3,7,0,0,1,2,1,1,1,1,1,1,0,0,1,1,1,2,1,2,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3
KGZ,Kyrgyzstan,Asia,2020,1,2,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,2,5,0,0,1,2,0,0,1,1,1,1,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
KHM,Cambodia,Asia,2020,1,1,1,1,0,0,1,3,1,1,0,0,1,2,1,1,1,1,1,3,7,0,0,1,2,1,1,1,2,1,1,0,0,1,2,0,0,1,1,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,3
KIR,Kiribati,Oceania,2020,1,4,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,7,1,3,1,2,1,1,1,3,1,1,0,0,1,3,1,1,1,2,0,0,0,0,0,0,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,1,2,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,Saint Kitts and Nevis,Americas,2020,0,0,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,4,14,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,2,1,3,0,0,1,1,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
KOR,South Korea,Asia,2020,1,1,1,1,0,0,0,0,1,1,1,3,1,1,1,2,1,1,1,2,5,1,2,1,2,1,1,1,3,1,1,0,0,1,2,1,1,1,1,0,0,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,1,1,1,2,0,0,1,1,1,2,1,4,1,1,0,0,0,0,0,0,0
KWT,Kuwait,Asia,2020,1,4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,4,0,0,1,1,1,2,1,2,1,2,1,3,1,1,0,0,0,0,0,0,0
LAO,Laos,Asia,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,3,10,1,3,1,2,1,1,1,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,3,0,0,0,0,0,0,1,1,1
LBN,Lebanon,Asia,2020,1,4,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LBR,Liberia,Africa,2020,1,5,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,1,1,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
LBY,Libya,Africa,2020,1,4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,10,0,0,0,0,0,0,1,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,3
LCA,Saint Lucia,Americas,2020,0,0,1,6,1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,3,7,1,3,1,2,1,1,1,3,0,0,0,0,1,2,1,1,1,2,1,2,0,0,1,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
LIE,Liechtenstein,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,2,0,0,0,0,1,1,1,3,10,1,3,1,3,1,2,1,1,1,1,1,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,0,0,0,0,1,1,0,0,1
LKA,Sri Lanka,Asia,2020,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LSO,Lesotho,Africa,2020,0,0,1,6,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,2,5,1,3,1,2,0,0,1,3,1,1,0,0,1,2,0,0,1,2,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
LTU,Lithuania,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,3,1,1,0,0,1,1,1,3,10,1,3,1,2,1,1,1,1,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1,3,0,0,1,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,0,0,0,0,1,1,0,0,0
LUX,Luxembourg,Europe,2020,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,5,0,0,1,3,1,2,1,1,0,0,1,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,1,3
LVA,Latvia,Europe,2020,1,1,1,1,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,2,5,1,2,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,1,5,1,1,1,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
MAR,Morocco,Africa,2020,1,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1,1,1,2,5,0,0,1,2,0,0,1,2,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
MDA,Moldova,Europe,2020,1,1,1,1,1,1,0,0,1,1,1,3,1,2,1,2,1,1,1,3,10,0,0,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3
MDG,Madagascar,Africa,2020,1,1,1,1,0,0,0,0,1,3,0,0,1,2,0,0,1,1,1,2,5,0,0,1,2,1,1,1,3,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,1,1,1,1,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2
MEX,Mexico,Americas,2020,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,5,1,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,1,2,0,0,1,2,0,6,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3
MHL,Marshall Islands,Oceania,2020,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,10,1,3,1,3,1,2,1,3,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
MKD,Macedonia,Europe,2020,1,2,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,3,8,1,3,1,2,1,1,1,1,1,1,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,1,1,1,3,1
MLI,Mali,Africa,2020,1,1,1,1,0,0,1,4,1,1,0,0,1,1,1,2,1,1,1,3,10,0,0,1,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
MLT,Malta,Europe,2020,1,3,1,3,0,0,0,0,1,2,1,2,0,0,0,0,1,1,1,3,7,0,0,1,2,0,0,1,3,0,0,0,0,1,2,0,0,1,2,0,0,1,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
MMR,Myanmar,Asia,2020,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0
MNE,Montenegro,Europe,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,3,10,1,3,1,2,0,0,1,3,1,1,1,2,1,2,1,2,1,1,0,0,1,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1,1,0,0,1,5,0,0,1,1,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1,1,0
MNG,Mongolia,Asia,2020,1,1,1,2,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,2,5,1,3,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,1,1,0,0,1
MOZ,Mozambique,Africa,2020,0,0,1,6,1,1,1,1,0,0,1,3,0,0,0,0,1,1,1,3,10,0,0,1,2,0,0,1,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MRT,Mauritania,Africa,2020,1,1,1,4,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,3,10,0,0,1,2,0,0,1,3,1,1,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1,2,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
MUS,Mauritius,Africa,2020,1,1,1,6,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,2,5,1,3,1,2,1,1,1,3,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1
