"iso3","country","region","value"
"VNM","Vietnam","South-eastern Asia",22514
"BEN","Benin","Western Africa",56315
"BLR","Belarus","Eastern Europe",608895
"LUX","Luxembourg","Western Europe",70269
"MKD","Macedonia","Southern Europe",72503
"SVN","Slovenia","Southern Europe",97620
"TUR","Turkey","Western Asia",608957
"XKX","Kosovo","Southern Europe",NA
"ARM","Armenia","Western Asia",366427
"KOR","South Korea","Eastern Asia",96380
"LCA","Saint Lucia","Caribbean",3489
"LTU","Lithuania","Northern Europe",107994
"MNE","Montenegro","Southern Europe",0
"PRT","Portugal","Southern Europe",328348
"SVK","Slovakia","Eastern Europe",64992
"VCT","Saint Vincent and the Grenadines","Caribbean",2078
"BEL","Belgium","Western Europe",575679
"BGR","Bulgaria","Eastern Europe",24067
"DNK","Denmark","Northern Europe",191049
"ESP","Spain","Southern Europe",814234
"HUN","Hungary","Eastern Europe",155074
"ITA","Italy","Southern Europe",1144982
"TWN","Taiwan","Eastern Asia",NA
"FRA","France","Western Europe",3185929
"NLD","Netherlands","Western Europe",750633
"FIN","Finland","Northern Europe",34808
"MDA","Moldova","Eastern Europe",142938
"RUS","Russia","Eastern Europe",5913274
"UKR","Ukraine","Eastern Europe",2934853
"CZE","Czech Republic","Eastern Europe",101562
"AUT","Austria","Western Europe",518229
"DEU","Germany","Western Europe",4460105
"GRC","Greece","Southern Europe",551871
